Story Heading,Story Excerpt,Section,Date,Source
Luari Sharif shrine unsealed after 36 years of closure,Auqaf Secretary Munawwar Mahesar personally opened the main entrance of the shrine.,Pakistan,25-1-2020,all
No one can dare divide Sindh Kamal tells people of Larkana,PSP holds its maiden power show in PPP stronghold.,Pakistan,25-1-2020,all
KU refuses to follow govt orders on bank accounts,The higher education institution is required to open and maintain its accounts in the Sindh Bank.,Pakistan,25-1-2020,all
‘People such as Fakhruddin G. Ebrahim don’t exist anymore’,Dr Shaikh laments not even 20 people can come to the condolence reference of a person who dedicated his life for rights.,Pakistan,25-1-2020,all
Sindh’s first batch of 500 women bikers gets training certificates,The Women on Wheels programme is set to expand its reach to other parts of the province.,Pakistan,25-1-2020,all
WB-funded plan to improve city’s municipal infrastructure launched,A detailed property survey of the city is also to be carried out under the $240m CLICK project.,Pakistan,25-1-2020,all
Police to install 10000 surveillance cameras in Karachi,Traders and general public encouraged to install CCTV cameras at their businesses homes.,Pakistan,25-1-2020,all
KGS Habib Girls Elite School win netball titles,Pakistan Netball Federation organises the tournament.,Newspaper,25-1-2020,all
Cueist Asif to be honoured soon for his world title: Arif Alvi,The president promised to recommend him for a befitting cash reward for his brilliant performance for the country.,Newspaper,25-1-2020,all
Misuse of premises lack of activities at Customs Sports Complex irks residents and sportspersons,The complex have not been holding any major sports activity for over six months,Newspaper,25-1-2020,all
Fireworks rings monument light up Tokyo six months before Games,Tokyo 2020 organisers have entered the final stretch ahead of the Olympics opening ceremony on July 24.,Newspaper,25-1-2020,all
Iyer fireworks give India victory in T20 opener against NZ,Iyer scored his second Twenty20 international half century with 58 not out and finished the game with his third six.,Newspaper,25-1-2020,all
No deal with Bangladesh over Asia Cup hosting says Wasim,“It is not the prerogative of the PCB or the ICC to change the host as it was the decision of the ACC” Wasim says.,Newspaper,25-1-2020,all
Robust diplomatic efforts urged to get Pakistan off FATF grey list,An official says members of the joint group were appreciative of Pakistan’s efforts to show satisfactory progress.,Pakistan,21-2-2020,all
Army chief inaugurates electronic warfare lab,The COAS visits the NRTC and lauded the role and efforts of the staff over the last three years.,Pakistan,25-1-2020,all
Bizenjo submits privilege motions against CM two others,Bizenjo accuses Alyani Buledi and Bugti of passing uncivilised and unparliamentarily remarks about him.,Pakistan,25-1-2020,all
Senators urge PM to explain ‘shift in foreign policy’,Opposition alleges Kashmir issue has been put on back burner US is being given preference over China.,Pakistan,25-1-2020,all
Portfolios allotted to new ministers,Sardar Yar Mohammad Rind has been allotted the portfolio of education.,Pakistan,25-1-2020,all
Demands will be met PTI assures MQM,“The meeting between PTI and MQM leaders was held in a cordial atmosphere” says MQM leader Syed Aminul Haq.,Pakistan,25-1-2020,all
Schools madressahs to have one curriculum: Shafqat,Minister says things get done when institutions are on the same page.,Pakistan,25-1-2020,all
Call for review of president’s power to pardon Hudood convict,The bill seeking an amendment to Article 45 of the Constitution is moved in the Senate by Haq on Jan 20.,Pakistan,25-1-2020,all
Old friends picked up the tab for Davos trip: PM,Imran says his visit cost 10 times less than those of past leaders.,Pakistan,25-1-2020,all
PML-N sees political change beginning from Punjab,PTI’s internal strife ally’s demands row with bureaucracy threaten govt.,Pakistan,25-1-2020,all
Promotion rules challenged ahead of CSB meeting,The IHC issues notices to the Establishment Division and also sought assistance from the attorney general.,Pakistan,25-1-2020,all
Stocks end four-day losing jinx with 126-point gain,Institutions cherrypick shares in banks cement textiles and exploration and production.,Newspaper,25-1-2020,all
EU China and others agree on interim trade dispute appeal system,Ministers from the group published a joint statement announcing a  “multi-party interim appeal arrangement”.,Newspaper,25-1-2020,all
Oil price drops 2pc on coronavirus fears,"“The market is concerned that the spread of the coronavirus is going to impact on oil demand especially in Asia.""",Newspaper,27-1-2020,all
Pakistan launches first electric vehicle,Overarching EV policy will help boost pollution-free transport facilities in the country says  Adviser to PM.,Newspaper,25-1-2020,all
Engineering goods export being encouraged,Engineering Development Board CEO Raza Abbas acknowledges the demands for a level playing field.,Newspaper,25-1-2020,all
Govt in push for 12 more offshore oil and gas exploration blocks,The Petroleum Division has sought security clearance of a dozen offshore blocks.,Newspaper,25-1-2020,all
No report of coronavirus infection among Pakistanis in China so far: FO,"""The current situation calls for greater patience and perseverance"" says Foreign Office statement.",Pakistan,26-1-2020,all
Woman killed 5 injured as US embassy vehicle collides with car in Islamabad,Pakistan driver of US embassy-owned Land Cruiser arrested; case registered by police.,Pakistan,27-1-2020,all
EU Parliament to vote on scathing resolution against India,Resolution says Indo-Pak tensions “fuelled by controversial decisions of Govt of India on Kashmir and citizenship”.,Pakistan,27-1-2020,all
Everyone who took home a trophy at the Hum Style Awards last night,Hosts Aamina Sheikh and Usman Mukhtar were our guides for the star-studded event.,Pakistan,26-1-2020,all
Report does not reflect increase in corruption: Transparency International,Response comes after PM's aide Awan had lambasted the report as biased saying it was based on questionable data.,Pakistan,26-1-2020,all
Three ministers sacked from KP cabinet,The move comes two days after media reports indicated a pressure group against the chief minister was in the works.,Pakistan,26-1-2020,all
Punjab lawmakers confident in Buzdar's leadership says Awan,Instead of speaking out against the govt the opposition should fulfill their role in parliament says the PM's aide.,Pakistan,26-1-2020,all
Mehwish Hayat's tweets about Karachi airport's washroom are spot on,"""Not only is it unhygienic but is this the first impression we want to give to people arriving here?"" she wrote.",Pakistan,26-1-2020,all
Maheen Khan is ready to start rethinking fashion weeks,As senior designers we are to blame for promoting mediocrity says the new Chairperson of the Fashion Pakistan Council,Pakistan,26-1-2020,all
Smokers' corner: Creating pseudohistory,Much has been written about the dubious claims which became part of Pakistani textbooks and nationalist narratives.,Pakistan,26-1-2020,all
Tech Talk: Lights out at Karachi-based startup Sukoon,Many a startup have fallen due to misalignment with their financiers.,Business,26-1-2020,all
PML-N leader Abid Sher Ali files complaint against Faisal Vawda to UK agency,The former MNA has alleged that there is no money trail showing how Vawda purchased 11 properties in the UK.,Pakistan,26-1-2020,all
Jinnah’s forgotten precept,ACCORDING to Hector Bolitho one of Jinnah’s biographers scrupulousness and uprightness were few of the several...,Sp Supplements,26-1-2020,all
The final storm of conquest,IN the overall context of Indian independence movement Quaid-i-Azam Mohammad Ali Jinnah’s successful espousal of...,Sp Supplements,26-1-2020,all
Jinnah firmly believed in equality for all,“Remember we are building up a state which is going to play its full part in the destinies of the whole Islamic...,Sp Supplements,26-1-2020,all
Quaid’s ideals ignored in all walks of life,RECORD of the past few decades shows that with the change of the government the situation in the Islamic Republic...,Sp Supplements,26-1-2020,all
Jinnah: the man the myth and the vision,MOHAMMAD Ali Jinnah was the first political leader to protest against the Salt Tax calling it “iniquitous ...,Sp Supplements,26-1-2020,all
Passing the torch,“…The Mussalmans of India are a Nation…the problem in India is not of an inter-communal character but...,Sp Supplements,26-1-2020,all
Jinnah and violence,THE coupling of the Quaid’s name with a malevolent noun is done deliberately – to jar the senses like a mild...,Sp Supplements,26-1-2020,all
The controversy over the film Zindagi Tamasha has revealed that the govt is still nervous about religion,A moderate image can't be manufactured; it needs societal transformation which in turn requires a humanisation process.,Pakistan,26-1-2020,all
Journalists and PTSD,Journalists from the editor down to the front-line reporters may need help with post-traumatic stress.,Pakistan,26-1-2020,all
A Sikh in Lahore,The bonds of blood language and culture that bind us are thousands of years old but boundaries are only decades old.,Pakistan,26-1-2020,all
White House lawyers begin Trump defence at Senate trial,Trump’s lawyers will have 24 hours spread over three days to present their defense of the president to the Senate.,Newspaper,26-1-2020,all
Two Rohingya women killed as Myanmar army shells village,The military has denied responsibility for the attack.,Newspaper,26-1-2020,all
US Space Force logo draws comparisons to ‘Star Trek’,The science fiction franchise appears to have influenced Space Force the US military’s newest branch.,Newspaper,26-1-2020,all
Global economy most vulnerable to climate change says risk perception survey,With environment and climate risks topping the list the next decade is being dubbed as “the decade of sustainability”.,Newspaper,26-1-2020,all
Stocks close lower after directionless week,Going forward market sentiments are likely to be driven by the monetary policy scheduled to be announced on Jan 28.,Newspaper,26-1-2020,all
New FTA with China is a ‘marked improvement’,Challenges to the growth of trade remain beyond tariff concessions highlights report.,Newspaper,26-1-2020,all
Kerb market sees dip in inflows as dollars head to banks,With the exchange rate largely stable of late the attraction of dollar business in the country has drastically fallen.,Newspaper,26-1-2020,all
BOOKS IN BRIEF,Kanhaiyya Laal (Khalid Latif after conversion to Islam) Gauba was a Lahore-born lawyer author and politician...,Newspaper,26-1-2020,all
COLUMN: PATHWAYS OF LIGHT,I approach biographies of my favourite writers with some trepidation more so when the writer in question has ...,Newspaper,26-1-2020,all
NON-FICTION: MEDICINES THAT KILL,A lucid book adds nuance depth and deeper understanding about the issue of counterfeit and substandard medicines...,Newspaper,26-1-2020,all
NON-FICTION: AN 'UTTERLY' USEFUL BOOK,Random House’s chief copy editor lets loose on how to edit and the copy that infuriates him,Newspaper,26-1-2020,all
FICTION: THE MAGIC OF STORIES,Symbols metaphors intricate imagery and poetic prose come together in this labyrinthine novel that is an ode to...,Newspaper,26-1-2020,all
Japan offers assistance in preserving Buddhist sites,Japanese Senior Deputy Minister for Foreign Affairs Kanasugi Kenji made the offer while visiting Taxila.,Pakistan,26-1-2020,all
LHC to hear Hamza’s bail pleas in sugar mills illegal assets cases,The bench comprises Justice Syed Mazahar Ali Akbar Naqvi and Justice Chaudhry Abdul Aziz.,Pakistan,26-1-2020,all
Jamshed Nusserwanjee — a man of heart and head,Jamshed Nusserwanjee was not only known as the ‘Maker of Modern Karachi’ but also as a true son of the soil of Sindh.,Pakistan,26-1-2020,all
Sindh govt finalises Rs1bn plan to fight rabies stray dogs,The three-year project will be enforced after getting CM’s approval.,Pakistan,26-1-2020,all
Sindh CM orders purchase of Rs4bn snorkels fire tenders vehicles for local councils,Plan to develop geo-information system for the regions with forests across Sindh.,Pakistan,26-1-2020,all
Trials in terrorism cases suffer due to lack of witness protection,In 2019 the ATCs’ conviction rate stood at a mere 17pc.,Pakistan,26-1-2020,all
Nadal Halep march on as shocks continue at Australian Open,Second seed Karolina Pliskova crashed out on a day of carnage in the women’s draw.,Newspaper,26-1-2020,all
ICC fines Stokes for foul language rant at spectator,Eng­land all-rounder Ben Stokes fined 15 percent of his match fee and given a demerit point.,Newspaper,26-1-2020,all
Pakistan’s Asad Ali climbs highest mountain in South America,The 22-year-old mountaineer dedicated his success to the soldiers of the Pakistan army and the people of Kashmir.,Newspaper,26-1-2020,all
A crude supply and demand game is on,Oil prices are mainly driven by demand and supply fundamentals and with ample supplies fundamentals are weak.,Newspaper,26-1-2020,all
World acknowledges ‘fascist ideology’ imposed in India: Imran,"""This is the biggest threat to regional peace and stability"" says Prime Minister Imran Khan.",Newspaper,26-1-2020,all
Climbers trying to summit Karakoram Range peaks enter decisive phase,The bad weather has forced the climbers to stay at base camps of Broad Peak and K2.,Pakistan,26-1-2020,all
Mural said to be world’s tallest unveiled in Karachi,The 286-foot-tall art mural is part of the Internati­onal Public Art Festival.,Pakistan,26-1-2020,all
NA speaker urges UK to relax visa rules for Pakistanis,Pakistan has relaxed its visa regime to attract tourists from across the globe says NA Speaker Asad Qaiser.,Pakistan,26-1-2020,all
Pakistan’s external affairs to have serious implications: report,The biggest challenge in 2020 for Pakistan will be to manage the fallout from the US-India nexus.,Pakistan,26-1-2020,all
Scramble in Turkey to find survivors as quake death toll reaches 29,At least 42 people have been rescued alive from collapsed buildings.,Newspaper,26-1-2020,all
Buzdar reaches out to disgruntled MPAs,Prime Minister Imran Khan is expected to visit Lahore today to review the situation in Punjab.,Pakistan,26-1-2020,all
Tally for polio cases in 2020 rises to four,The immunity gap that emerged in Pakistan in 2019 should be plugged through three nationwide campaigns says official.,Pakistan,26-1-2020,all
Deadly virus accelerating warns Chinese president,Beijing will suspend long-distance buses entering and leaving the capital of 20 million from Sunday.,Newspaper,26-1-2020,all
Man arrested for allegedly raping minor girl in Muzaffarabad,The suspect is a student at a seminary in Karachi and had returned to his village around two months before the incident.,Pakistan,27-1-2020,all
Senate passes bill allowing paid maternity paternity leaves,According to the bill women will get a 6-month paid leave on first birth while men will get 30 days off.,Pakistan,27-1-2020,all
PTM condemns Manzoor Pashteen's arrest announces countrywide protests,"PTM leader Mohsin Dawar urges supporters to stay ""peaceful like always"".",Pakistan,28-1-2020,all
Where was the style at the Hum Style Awards?,We tried looking for it we really did. We failed.,Pakistan,27-1-2020,all
4 minor boys arrested for vandalising Hindu temple in Thar village,The suspects while confessing to the crime stated that they carried out the act to steal money from the temple: police.,Pakistan,27-1-2020,all
Twitter is livid after Meray Pass Tum Ho's finale,Betrayal heartache tears ... this was more Twitter than the show itself.,Pakistan,27-1-2020,all
Pakistan retain top T20 spot as final match against Bangladesh called off due to rain,Hosts Pakistan win series 2-0 as third T20 abandoned without a ball being bowled.,Sport,27-1-2020,all
Affan Waheed is making his cinematic debut in Mastani,The actor reveals he'll be playing a kind-hearted guy in love with a lion-hearted woman.,Pakistan,27-1-2020,all
Special report: Landmines IEDs and unexploded ordnances endanger the children of tribal districts,“We can’t leave our home.”,Pakistan,27-1-2020,all
Sarwat Gilani and Fahad Mirza run into Karan Johar at the airport,"Gilani also referred to Johar as a ""humble and down to earth star.""",Pakistan,27-1-2020,all
PTM's Manzoor Pashteen arrested in Peshawar sent on 14-day judicial remand,The PTM chief has been booked for sedition promoting enmity between different groups and criminal intimidation.,Pakistan,27-1-2020,all
Pakistan's growth outlook gets murkier,The domestic environment is not conducive for fresh investment and economic growth.,Business,27-1-2020,all
Misbah’s desperation to win has impaired his vision on team selection,Selection is about having an eye for talent and building the fundamental core of the team around young players.,Pakistan,27-1-2020,all
Mystery shrouds girl’s burial at home by father stepmother in Kasur,Couple say they buried the infant in the courtyard by their house as they could not afford funeral expenses.,Pakistan,27-1-2020,all
Police belittle Peshawar DNA lab by sending samples to Lahore,Officer says govt should ensure uninterrupted supply of kits to Khyber Medical College’s lab .,Pakistan,27-1-2020,all
Tarakai family in hot water for first time in politics,The future course of action of former minister Shahram Tarakai is still not known.,Pakistan,27-1-2020,all
Pakistan is not prepared to handle a major outbreak of a communicable disease,The country's healthcare system is too fragmented to deliver a coordinated response to an outbreak.,Pakistan,27-1-2020,all
Higher Education Commission opposes restoration of student unions,The restoration of student unions will deteriorate govt efforts to reform universities says the commission.,Pakistan,27-1-2020,all
Disposable women,In most countries policies to empower ethnic minority women are the last on the agenda.,Pakistan,27-1-2020,all
Flour mills in Sahiwal directed to set up fair price shops at gates,Customers say the flour being sold at fair price shops or at the the gates of mills is not good quality.,Pakistan,27-1-2020,all
Premier’s go-ahead: Amendment to law precondition for LG polls: PML-Q,PML-Q may not go for local polls if flaws in the law persist says party leader Moonis Elahi.,Pakistan,27-1-2020,all
72 dog-bite cases reported in upper Sindh,At least 34 people shifted to Jacobabad Institute of Medical Sciences due to unavailability of vaccines.,Pakistan,27-1-2020,all
Six senior academics cast doubts over selection process for Karachi University VC,The post of KU vice chancellor had fallen vacant over eight months ago following the death of Prof Mohammad Ajmal Khan.,Pakistan,27-1-2020,all
Video shows Trump telling aide to ‘get rid’ of envoy to Ukraine,Footage reportedly taken during an April 2018 donor dinner at a hotel.,Newspaper,27-1-2020,all
Israel formally allows citizens to visit Saudi Arabia,"Interior ministry says the move approves travel to Saudi Arabia for ""religious purposes"".",Newspaper,27-1-2020,all
Rockets land near US embassy in Baghdad,Iraq’s security forces said in a statement that five rockets hit the high-security Green Zone with no casualties.,Newspaper,27-1-2020,all
England set weary SA world record 466 to win final Test,The England captain scored 58 and played an anchor role before he was last man out.,Newspaper,27-1-2020,all
Coco bid ends in tears as Djokovic Federer blast into quarter-finals,In her previous match Gauff become the youngest player  to defeat the reigning women’s champion at the Australian Open.,Newspaper,27-1-2020,all
India bowlers set up easy win in second NZ T20,Despite the comprehensive defeat for New Zealand captain Kane Williamson stood by his decision to bat first.,Newspaper,27-1-2020,all
Private-sector lending: a tricky business,One reason for banks’ low lending is that bad loans have recently ballooned and the loan infection ratio has shot up.,Newspaper,27-1-2020,all
Small brokers charge headlong at SECP,Allowing small brokers to bite only as much as they can chew will reduce the chance of mishandling of client assets.,Newspaper,27-1-2020,all
Betting on hot money,Foreign portfolio investment has strengthened the value of the rupee and built the SBP’s foreign exchange reserves.,Newspaper,27-1-2020,all
PTV justifies increase in licence fee,Says public broadcasters around the world are supported by their govts to project their national narrative.,Pakistan,27-1-2020,all
Expat doctors to launch knowledge exchange project,A database of Pakistani doctors across the world will be created during the first phase of the project.,Pakistan,27-1-2020,all
Ex-diplomat urges need for reform within UN Security Council,The United Nations is a unique platform which is sometimes undervalued says Dr Maleeha Lodhi.,Pakistan,27-1-2020,all
Rallies held across AJK to mark India’s republic day as black day,Foreign minister asks world to help stop Indian atrocities in the occupied valley.,Pakistan,27-1-2020,all
Senate to take up bill on new high court benches today,Bill seeks setting up four new high court benches in Punjab and two each in Sindh KP and Balochistan.,Pakistan,27-1-2020,all
Coronavirus fear: GB seeks delay in opening of border crossing,Isolation wards have been set up at a hospital in Quetta to deal with suspected cases of coronavirus.,Pakistan,27-1-2020,all
Board to oversee AML/CFT rules observance in savings schemes,Move an effort to comply with the requirements of the Financial Action Task Force.,Newspaper,27-1-2020,all
Economic freedom in Pakistan has increased: report,The report has given Pakistan 55.0 on a scale of 0 to 100 making it the 131st freest economy on a list of 186.,Newspaper,27-1-2020,all
Protest outside Indian mission in London on republic day,Protesters say the Indian government’s celebration of Republic Day is hypocritical.,Newspaper,27-1-2020,all
Hopes fade for survivors as toll from Turkey quake rises,Residents are still waiting to find out what has happened to their relatives.,Newspaper,27-1-2020,all
Govt inaction on warnings about shortage caused wheat flour crisis,A crisis had already begun to brew as far back as May last year when authorities were told of a possible wheat shortage.,Newspaper,27-1-2020,all
‘Organised mafia’ trying to forestall change: Imran,"Imran asks the Punjab govt to eliminate the ""political disconnect"" between elected representatives and the bureaucracy.",Pakistan,27-1-2020,all
Handling crises,The country's healthcare system is too fragmented to deliver a coordinated response to an outbreak.,Newspaper,3-3-2020,all
Ali Azmat teams up with Asim Azhar and Haroon for PSL 2020 anthem,Arif Lohar also lends his vocals to the track giving it the jazba it needs.,Pakistan,28-1-2020,all
Cabinet decides to recover billions of rupees 'illegally spent' by ex-PMs CMs,"""The law will take its course if the misused public money is not surrendered by the accused"" says Murad Saeed.",Pakistan,28-1-2020,all
Fact check: Fake emergency notification on coronavirus attempts to mislead public,The fake message states that the health ministry has advised public to avoid crowded places till the end of March.,Pakistan,29-1-2020,all
Rights groups decry Pemra's efforts to regulate web content as 'attempt to curtail free speech',Pemra has called for suggestions to set up a regulatory mechanism for Web TV OTT platforms.,Pakistan,28-1-2020,all
‘Inclusion of women with disabilities imperative for women's economic empowerment’,40000 women and members from excluded groups benefit from Norwegian Embassy and UN Women Pakistan partnership.,Pakistan,28-1-2020,all
'Ministers and lawmakers have occupied state land' in Sindh remarks CJP,Orders authorities to cancel the illegal allotment of all land belonging to provincial forest department.,Pakistan,28-1-2020,all
Federal cabinet rejects Mahar for Sindh IGP slot seeks more names from province,IGP Imam flies to Islamabad likely to meet PM Imran tomorrow.,Pakistan,28-1-2020,all
England's Broad fined after 'audible obscenity' in South Africa Test,It was the second offence in a 24-month period for the bowler.,Sport,28-1-2020,all
Stop following me if you hate me says Sarwat Gilani,The actor recently made a note to all cyber bullies letting them know she is who she is and nothing will change that.,Pakistan,28-1-2020,all
'Big conspiracy being staged against me' says Sindh IG Kaleem Imam,PPP's Saeed Ghani says Imam will likely be removed as provincial police chief today.,Pakistan,28-1-2020,all
Syed Jibran is making his big screen debut alongside Saba Qamar,The hunt is still on for the third lead.,Pakistan,28-1-2020,all
Afghan president's tweets 'equivalent to interfering in Pakistan's internal affairs': Awan,"Ashraf Ghani had said that he was ""troubled by the arrest of Manzoor Pashteen and his colleagues"".",Pakistan,28-1-2020,all
Meray Paas Tum Ho's disappointing finale reinforced that women aren't worthy of redemption,The MPTH team gave up what to me felt like an incredible opportunity to dive into the complexities of being a woman.,Pakistan,28-1-2020,all
Peshawar court rejects Manzoor Pashteen's bail request orders transfer to DI Khan jail,Protests against Pashteen's arrest are being held in Peshawar Tank Miranshah and other cities.,Pakistan,28-1-2020,all
Federer saves 7 match points to reach Aussie Open semis,Federer somehow pulled off a memorable comeback to reach the Australian Open semi-finals for the 15th time.,Sport,28-1-2020,all
Shaan Shahid has finally dropped a teaser for his film Zarrar,The film has been written and directed by the actor and also features him in the lead.,Pakistan,28-1-2020,all
11 killed 2 injured after cylinder blast at Lahore perfume factory,The roof of the building collapsed after the cylinders exploded burying residents under the debris.,Pakistan,28-1-2020,all
'You should have resigned after train tragedy' CJP tells Sheikh Rashid,Top judge admonishes Sheikh Rashid orders him to submit business plan to lift railways from current state in two weeks.,Pakistan,28-1-2020,all
Six members of a family gunned down in their sleep in suspected honour killing in Hyderabad,Police have arrested a dozen suspects so far.,Pakistan,28-1-2020,all
Row over Sindh police chief’s appointment resolved after PM-Murad meeting,Sources say the new IGP will be picked from three names sent by Sindh govt.,Pakistan,28-1-2020,all
Sharif Al Mujahid will be remembered as one of South Asia’s most prolific writers on the Pakistan movement,Mujahid founded the Karachi University’s journalism department in 1956.,Pakistan,28-1-2020,all
Power distribution companies start filing petitions for increase in tariff,"Under the new two-part tariff mechanism full electricity costs will be passed onto consumers in a ""timely manner"".",Business,28-1-2020,all
Editorial: PTI's trouble in Punjab,The prime minister might want to absorb the gravity of the situation in Punjab and come up with specific solutions.,Pakistan,28-1-2020,all
From Peshawar to Lahore — it is pouring for PTI these days,It’s hard to assume that playing hardball in KP will frighten those grumbling in Punjab.,Pakistan,28-1-2020,all
Govt and media state’s key pillars says CM,Urges the media to point out flaws in the moves of the govt's representatives and departments.,Pakistan,28-1-2020,all
Initiative to empower poor women to be launched on Friday,A stipend of Rs2000 will be paid to women registered under the Ehsas Kafalat Programme says Dr Sania Nishtar.,Pakistan,28-1-2020,all
Contractors face fine for missing BRT deadline,Sources say contractors had agreed to complete the project in six milestones of 20 days each.,Pakistan,28-1-2020,all
FIR reforms key to improving criminal justice system says FIA official,Dr Sadiq says a range of factors have rendered the FIR in Pakistan to be a complex phenomenon.,Pakistan,28-1-2020,all
PAC body directs action against former Comsats rector,Parliamentarians shocked to learn official was reemployed as ED.,Pakistan,28-1-2020,all
10000 policemen deputed for Chinese security ‘vulnerable’ to coronavirus,Special Protection Unit director seeks medical advice.,Pakistan,28-1-2020,all
Shahbaz absence harming opposition cause: PPP,"""Inflation-hit masses are looking towards the opposition due to the failure of the current govt"" says Nafisa Shah.",Pakistan,28-1-2020,all
Buzdar meets MPs from Multan after MNA’s angry outburst,MNA Ahmed Hassan Dehar spoke against the local district administration for only following a federal minister’s orders.,Pakistan,28-1-2020,all
Rana Sanaullah expects Shahbaz return in March,Says there is a reason for his extended stay in London.,Pakistan,28-1-2020,all
Minister seeks blasphemy case over vandalising of Chhachhro temple,Four ‘young thieves’ arrested were arrested for stealing money from the temple a day earlier.,Pakistan,28-1-2020,all
Hospitals across Sindh put on alert about coronavirus,Federal government told to take urgent measures to evacuate Pakistani students living in Wuhan.,Pakistan,28-1-2020,all
Bolton revelation puts Republicans under pressure in Trump impeachment trial,Democrats demand that the Senate call Bolton as a witness.,Newspaper,28-1-2020,all
Trump insists  Israeli-Palestinian plan has a ‘chance’,"Netanyahu praises Trump as  ""the greatest friend that Israel’s had in the White House"".",Newspaper,28-1-2020,all
Turkish rescuers find last quake victims; death toll hits 41,The magnitude 6.8 earthquake that struck on Friday night also injured more than 1600 others authorities say.,Newspaper,28-1-2020,all
Holiday extended businesses shut as virus toll rises to 81 in China,Premier Li Keqiang visits the city of Wuhan the epicentre of the outbreak.,Newspaper,28-1-2020,all
PCB award for Umar Gul,"""I am grateful to the PCB for remembering and acknowledging my achievement"" says Umar Gul.",Newspaper,28-1-2020,all
Basketball and cycling join Chinese events shut down by virus,China was to host Great Britain Spain and South Korea for a tournament to decide three places at next year’s Olympics.,Newspaper,28-1-2020,all
Williams ton gives Zimbabwe upper hand against SL,The Zimbabwe captain who won the toss and chose to bat first makes 107 from 137 balls.,Newspaper,28-1-2020,all
Steady Nadal beats animated Kyrgios at Australian Open,Nadal will next play Austria’s Dominic Thiem — his victim in the last two French Open finals.,Newspaper,28-1-2020,all
England thump South Africa in final Test to take series 3-1,The success is a massive boost for a young English team who overcame several obstacles on a tough tour.,Newspaper,28-1-2020,all
UK faces choice on Huawei with global implications,The decision has implications for the country’s diplomatic relations with the United States.,Newspaper,28-1-2020,all
General Motors plant set to close will produce electric cars,The project will generate more than 2200 jobs when Hamtramck is fully operational the company says.,Newspaper,28-1-2020,all
Index loses 94 points on value hunting,KSE-100 index records a drop of 93.79 points (0.22 per cent) and closes at 42539.23.,Newspaper,28-1-2020,all
India’s direct tax collection set to fall after two decades,"""This will be the first time that we’ll see a fall in direct tax collection ever"" says a tax official in New Delhi.",Newspaper,28-1-2020,all
IMF urges Kuwait to impose new taxes,Kuwait which pumps 2.7 million barrels of oil per day has huge fiscal reserves estimated at $644bn by the IMF.,Newspaper,28-1-2020,all
Stocks oil tumble as China virus rattles markets,On equity markets luxury goods makers and airlines suffer particularly.,Newspaper,28-1-2020,all
Careem axes over 150 jobs,According to LinkedIn Careem has over 3500 employees of which around 1100 work in offices across Pakistan.,Newspaper,28-1-2020,all
Pakistan needs $234.5bn to achieve key SDGs,The power sector needs $99.3bn digital access $56.6bn transport $38.5bn and clean water and sanitation $4bn.,Newspaper,28-1-2020,all
SC urged to set principles for filing references against judges,"Counsel defending Justice Isa claims president moved reference without ""applying his mind"".",Pakistan,28-1-2020,all
12 injured as heavy rain snowfall batter Balochistan,The Met office has predicted that the weather will remain dry and cool in different parts of Balochistan.,Pakistan,28-1-2020,all
Law protecting business community from NAB may be extended,Shahzad Akbar dispels impression that accountability process has slowed down.,Pakistan,28-1-2020,all
PPP questions PM’s foreign visits at friend’s expense,The prime minister has put national security at stake says PPP Secretary General Nayyar Bukhari.,Pakistan,28-1-2020,all
Election Commission of Pakistan complete as new chief members sworn in,Deadlock between govt opposition over appointments persisted for over a year.,Pakistan,28-1-2020,all
Senate body concerned over ‘indifferent attitude’ to child abuse,Council of Islamic Ideology’s help sought to introduce effective legislation to stop child abuse in seminaries.,Pakistan,28-1-2020,all
Trial in absentia against principles of natural justice rules LHC,Detailed judgement on Gen Pervez Musharraf’s petition challenging his conviction for high treason issued.,Pakistan,28-1-2020,all
Iranian plane overshoots runway; passengers safe,Officials say the incident is currently being investigated.,Newspaper,28-1-2020,all
Establishment of coastal development authority questioned,Opposition senators say the federal government has encroached upon provincial autonomy.,Pakistan,28-1-2020,all
Many cabinet members worried about inflation: PM,"""We will not spare those who have created inflation only to mint money"" says Imran.",Pakistan,28-1-2020,all
Govt devises plan to combat coronavirus as students send SOS,Pakistani students studying in Wuhan have demanded the govt make efforts to rescue them.,Newspaper,28-1-2020,all
No govt dept more corrupt than railways: SC,CJP-led bench summons minister top officers of Pakistan Railways to explain losses falling standards.,Pakistan,28-1-2020,all
Pakistan Steel Mills among 6 public sector entities to be sold off this year: Soomro,Five federal govt properties in Lahore to be used to make cheap housing available to public says minister.,Pakistan,29-1-2020,all
Lahore ATC acquits 42 people in Youhanabad lynching cases,Court acquits all suspects two of whom died in prison after they reached an agreement with victims' families.,Pakistan,29-1-2020,all
Cases against over 2000 govt employees who benefited from BISP sent to FIA,As many as 140000 government employees or their spouses benefited from BISP funds meant for the poor: SAPM Akbar.,Pakistan,29-1-2020,all
Bail plea of Lahore journalist arrested over 'anti-state' Facebook posts rejected,"""The young journalist has been targeted and arrested only to create further fear in the media"" argues lawyer.",Pakistan,29-1-2020,all
2 polio workers killed as team comes under attack in Swabi,DPO says the area where the attack took place is not on security alert.,Pakistan,29-1-2020,all
Hameed Haroon files case against Jami in Sindh High Court,Asks high court to restrain filmmaker from making defamatory remarks.,Pakistan,29-1-2020,all
